ages,list_price,num_reviews,piece_count,play_star_rating,prod_desc,set_number,review_difficulty,star_rating,val_star_rating,country,piece_cost
10-16,139.99,18.0,1456,4.6,Divide the 4-in-1 Ultimate Batmobile and conquer the Super-Villains!,70917,Average,4.6,4.6,US,0.09614697802197802
8-14,99.99,23.0,1047,4.7,Protect the Batcave from The Penguin’s invasion!,70909,Average,4.7,4.3,US,0.09550143266475644
9-14,89.99,4.0,1053,4.0,Patrol the sky above Gotham City in The Batwing!,70916,Average,4.0,3.8,US,0.08546058879392213
8-14,79.99,9.0,643,4.4,Launch a space mission from the Batcave!,70923,Average,4.8,3.5,US,0.12440124416796267
8-14,59.99,20.0,581,4.6,Pursue Man-Bat™ and the Kabuki Twins™ in the Batmobile with three driving modes!,70905,Average,4.8,4.3,US,0.10325301204819277
8-14,49.99,19.0,433,4.4,Team up with Batgirl™ to stop The Joker’s Notorious Lowrider!,70906,Average,4.7,4.2,US,0.11545034642032333
7-14,49.99,5.0,425,3.2,Dodge Harley Quinn’s cannonball attacks!,70921,Average,3.2,2.6,US,0.11762352941176471
8-14,49.99,6.0,366,3.7,Protect Gotham City from Bane’s toxic attacks!,70914,Average,4.0,3.0,US,0.13658469945355192
7-14,29.99,5.0,267,3.6,Party on with Superman™ and friends!,70919,Easy,3.2,3.4,US,0.11232209737827714
8-14,29.99,24.0,305,4.5,Put the heat on The Penguin™ Arctic Roller with Batman™!,70911,Easy,4.8,4.4,US,0.098327868852459
7-14,29.99,11.0,293,4.9,Join Batman™ in a comical food fight!,70920,Average,4.7,4.6,US,0.10235494880546074
7-14,29.99,18.0,254,4.2,Battle with Batman™ against The Riddler™ and his allies!,70903,Easy,4.2,4.4,US,0.11807086614173228
7-14,19.99,8.0,204,4.1,Help Batman™ to stop Scarecrow™ delivering a special scare pizza!,70910,Average,4.4,4.1,US,0.09799019607843136
7-14,19.99,19.0,201,4.1,Protect the power plant from Mr. Freeze’s ice attack!,70901,Easy,4.6,4.4,US,0.09945273631840795
6-12,14.99,7.0,141,4.0,Power into the sky to stop Scarecrow’s fear gas attacks!,70913,Easy,4.1,4.4,US,0.10631205673758866
6-12,14.99,18.0,124,4.5,Help Batman™ stop The Joker™ escaping!,70900,Easy,4.7,4.6,US,0.12088709677419356
7+,16.99,19.0,61,2.1,Display THE LEGO® BATMAN MOVIE minifigures!,853638,Very Easy,2.9,2.8,US,0.2785245901639344
5+,3.99,13.0,8,4.3,Discover new heroes and villains in LEGO® Minifigures—THE LEGO BATMAN MOVIE Series 2.,71020,Very Easy,4.8,4.0,US,0.49875
9-14,79.99,15.0,775,4.8,Save the day with Batman™ and The Scuttler!,70908,Average,4.7,4.0,US,0.10321290322580645
8-14,69.99,10.0,460,4.3,Speed after Killer Croc’s Tail-Gator on Batman’s Batski!,70907,Easy,3.8,2.7,US,0.15215217391304348
9-14,59.99,6.0,564,4.7,Don’t get on the wrong side of the Two-Face™ Excavator!,70915,Average,4.8,4.8,US,0.10636524822695036
8-14,34.99,13.0,448,3.9,Duel against the mighty Clayface™ with Batman™!,70904,Average,4.4,4.1,US,0.07810267857142858
7-14,44.99,2.0,156,4.5,Fight crime with Batgirl™ and Robin™ in THE LEGO® BATMAN MOVIE!,71264,Easy,4.5,3.5,US,0.2883974358974359
7-14,19.99,27.0,139,4.2,Stop Catwoman™ escaping with the diamonds!,70902,Easy,4.5,4.2,US,0.14381294964028776
10+,9.99,11.0,91,3.8,Celebrate THE LEGO® BATMAN MOVIE with a LEGO BrickHeadz Batman!,41585,Very Easy,4.9,4.7,US,0.10978021978021978
10+,9.99,12.0,151,3.3,Show off the evil trickster with LEGO® BrickHeadz The Joker™!,41588,Easy,4.8,4.7,US,0.066158940397351
10+,9.99,10.0,101,4.3,Showcase the Boy Wonder with LEGO® BrickHeadz Robin™!,41587,Very Easy,4.8,4.9,US,0.09891089108910892
10+,9.99,9.0,99,3.5,Channel Batgirl™ with your own LEGO® BrickHeadz version!,41586,Easy,4.3,4.6,US,0.1009090909090909
9-14,159.99,52.0,2295,4.7,Join the ninja aboard Wu’s flying ship!,70618,Challenging,4.9,4.8,US,0.0697124183006536
16+,299.99,88.0,4867,4.8,Live the life of a ninja in NINJAGO® City!,70620,Challenging,4.9,4.8,US,0.06163755907129649
9-14,99.99,15.0,1403,4.5,Evade the traps inside the Temple!,70617,Average,4.8,4.8,US,0.07126870990734141
9-14,89.99,11.0,1202,4.7,Turn sound into a weapon with Cole’s Quake Mech!,70632,Average,4.5,4.4,US,0.07486688851913477
9-14,79.99,9.0,830,4.6,Defend NINJAGO® City from Garmadon Shark Mech attack!,70656,Average,4.9,4.8,US,0.09637349397590361
9-14,79.99,6.0,914,4.8,Take on the shark army with Zane’s Ice Tank!,70616,Average,4.8,4.7,US,0.08751641137855579
9-14,69.99,19.0,944,3.6,Put the heat on the shark army with Kai’s Fire Mech!,70615,Average,4.2,4.6,US,0.07414194915254237
8-14,59.99,8.0,747,4.3,Defend NINJAGO® City against Garma Mecha Man!,70613,Average,4.5,4.5,US,0.0803078982597055
9-14,59.99,8.0,876,4.7,Speed to the rescue with Jay’s Lightning Jet!,70614,Average,5.0,4.6,US,0.06848173515981736
8-14,49.99,7.0,521,4.7,Get all fired up at Garmadon’s Volcano Lair!,70631,Average,4.3,5.0,US,0.09595009596928983
8-14,49.99,29.0,544,4.6,Take on Garmadon with the Green Ninja Mech Dragon!,70612,Average,4.7,4.5,US,0.09189338235294119
8-14,29.99,21.0,494,4.6,Smash the shark army out of the water with the Water Strider!,70611,Average,4.5,4.8,US,0.0607085020242915
7-14,29.99,10.0,312,3.5,Battle against evil Jungle Garmadon on the jungle bridge!,70608,Easy,4.0,3.6,US,0.09612179487179487
7-14,29.99,6.0,341,4.4,Protect NINJAGO® City from flying Manta Ray Bomber attack!,70609,Easy,4.3,4.2,US,0.08794721407624632
8-14,29.99,7.0,341,4.2,Take on the tentacular Flying Jelly Sub with Jay!,70610,Average,4.6,4.6,US,0.08794721407624632
7-14,19.99,8.0,217,4.1,Stop a Piranha Attack with Kai and Misako!,70629,Easy,3.6,4.1,US,0.09211981566820276
7-14,19.99,18.0,233,4.6,Stop a crime in the NINJAGO® City street market!,70607,Easy,4.6,4.5,US,0.085793991416309
6-14,9.99,1.0,48,5.0,Achieve Spinjitzu greatness with the Green Ninja!,70628,Very Easy,5.0,5.0,US,0.208125
6-14,9.99,11.0,109,4.5,Practice your Spinjitzu skills with Kai and Zane!,70606,Easy,4.7,4.8,US,0.09165137614678899
10+,9.99,7.0,102,4.0,Unleash your true ninja spirit with LEGO® BrickHeadz Lloyd!,41487,Easy,5.0,4.7,US,0.09794117647058824
10+,9.99,5.0,89,3.2,Learn the way of the ninja with LEGO® BrickHeadz Master Wu!,41488,Very Easy,4.4,4.0,US,0.11224719101123595
5+,3.99,22.0,8,4.3,Bring the NINJAGO® world to life with LEGO® Minifigures!,71019,Very Easy,4.3,4.1,US,0.49875
