set_number,set_name,year_released,image_url,theme_name
42084,Hook Loader,2018,https://cdn.rebrickable.com/media/sets/42084-1.jpg,Technic
42088,Cherry Picker,2019,https://cdn.rebrickable.com/media/sets/42088-1.jpg,Technic
42089,Power Boat,2019,https://cdn.rebrickable.com/media/sets/42089-1.jpg,Technic
42090,Getaway Truck,2019,https://cdn.rebrickable.com/media/sets/42090-1.jpg,Technic
42091,Police Pursuit,2019,https://cdn.rebrickable.com/media/sets/42091-1.jpg,Technic
42092,Rescue Helicopter,2019,https://cdn.rebrickable.com/media/sets/42092-1.jpg,Technic
42093,Chevrolet Corvette ZR1,2019,https://cdn.rebrickable.com/media/sets/42093-1.jpg,Technic
42094,Tracked Loader,2019,https://cdn.rebrickable.com/media/sets/42094-1.jpg,Technic
42095,Remote-Controlled Stunt Racer,2019,https://cdn.rebrickable.com/media/sets/42095-1.jpg,Technic
42096,Porsche 911 RSR,2019,https://cdn.rebrickable.com/media/sets/42096-1.jpg,Technic
42097,Compact Crawler Crane,2019,https://cdn.rebrickable.com/media/sets/42097-1.jpg,Technic
42098,Car Transporter,2019,https://cdn.rebrickable.com/media/sets/42098-1.jpg,Technic
42099,4x4 X-treme Off-Roader,2019,https://cdn.rebrickable.com/media/sets/42099-1.jpg,Technic
42100,Liebherr R 9800 Excavator,2019,https://cdn.rebrickable.com/media/sets/42100-1.jpg,Technic
42101,Buggy,2020,https://cdn.rebrickable.com/media/sets/42101-1.jpg,Technic
42102,Mini CLAAS XERION,2020,https://cdn.rebrickable.com/media/sets/42102-1.jpg,Technic
42103,Dragster,2020,https://cdn.rebrickable.com/media/sets/42103-1.jpg,Technic
42104,Race Truck,2020,https://cdn.rebrickable.com/media/sets/42104-1.jpg,Technic
42105,Catamaran,2020,https://cdn.rebrickable.com/media/sets/42105-1.jpg,Technic
42106,Stunt Show Truck & Bike,2020,https://cdn.rebrickable.com/media/sets/42106-1.jpg,Technic
42107,Ducati Panigale V4 R,2020,https://cdn.rebrickable.com/media/sets/42107-1.jpg,Technic
42108,Mobile Crane,2020,https://cdn.rebrickable.com/media/sets/42108-1.jpg,Technic
42109,App-Controlled Top Gear Rally Car,2020,https://cdn.rebrickable.com/media/sets/42109-1.jpg,Technic
42110,Land Rover Defender,2019,https://cdn.rebrickable.com/media/sets/42110-1.jpg,Technic
42111,Dom's Dodge Charger,2020,https://cdn.rebrickable.com/media/sets/42111-1.jpg,Technic
42112,Cement Mixer,2020,https://cdn.rebrickable.com/media/sets/42112-1.jpg,Technic
42113,Bell Boeing V-22 Osprey,2020,https://cdn.rebrickable.com/media/sets/42113-1.jpg,Technic
42114,6x6 Volvo Articulated Hauler,2020,https://cdn.rebrickable.com/media/sets/42114-1.jpg,Technic
42115,Lamborghini Sián FKP 37,2020,https://cdn.rebrickable.com/media/sets/42115-1.jpg,Technic
42116,Skid Steer Loader,2021,https://cdn.rebrickable.com/media/sets/42116-1.jpg,Technic
42117,Race Plane,2021,https://cdn.rebrickable.com/media/sets/42117-1.jpg,Technic
42118,Monster Jam Grave Digger,2021,https://cdn.rebrickable.com/media/sets/42118-1.jpg,Technic
42119,Monster Jam Max-D,2021,https://cdn.rebrickable.com/media/sets/42119-1.jpg,Technic
42120,Rescue Hovercraft,2021,https://cdn.rebrickable.com/media/sets/42120-1.jpg,Technic
42121,Heavy-Duty Excavator,2021,https://cdn.rebrickable.com/media/sets/42121-1.jpg,Technic
42122,Jeep Wrangler,2021,https://cdn.rebrickable.com/media/sets/42122-1.jpg,Technic
42123,McLaren Senna GTR,2021,https://cdn.rebrickable.com/media/sets/42123-1.jpg,Technic
42124,Off-Road Buggy,2021,https://cdn.rebrickable.com/media/sets/42124-1.jpg,Technic
42125,"Ferrari 488 GTE ""AF Corse #51""",2021,https://cdn.rebrickable.com/media/sets/42125-1.jpg,Technic
42126,Ford F-150 Raptor,2021,https://cdn.rebrickable.com/media/sets/42126-1.jpg,Technic
42127,The Batman - Batmobile,2021,https://cdn.rebrickable.com/media/sets/42127-1.jpg,Technic
42128,Heavy Duty Tow Truck,2021,https://cdn.rebrickable.com/media/sets/42128-1.jpg,Technic
42129,4x4 Mercedes-Benz Zetros Trial Truck,2021,https://cdn.rebrickable.com/media/sets/42129-1.jpg,Technic
42130,BMW Motorrad M 1000 RR,2022,https://cdn.rebrickable.com/media/sets/42130-1.jpg,Technic
42131,Cat D11 Bulldozer,2021,https://cdn.rebrickable.com/media/sets/42131-1.jpg,Technic
42132,Motorcycle,2022,https://cdn.rebrickable.com/media/sets/42132-1.jpg,Technic
42133,Telehandler,2022,https://cdn.rebrickable.com/media/sets/42133-1.jpg,Technic
42134,Monster Jam Megalodon,2022,https://cdn.rebrickable.com/media/sets/42134-1.jpg,Technic
42135,Monster Jam El Toro Loco,2022,https://cdn.rebrickable.com/media/sets/42135-1.jpg,Technic
42136,John Deere 9620R 4WD Tractor,2022,https://cdn.rebrickable.com/media/sets/42136-1.jpg,Technic
42137,Formula E Porsche 99X Electric,2022,https://cdn.rebrickable.com/media/sets/42137-1.jpg,Technic
42138,Ford Mustang Shelby GT500,2022,https://cdn.rebrickable.com/media/sets/42138-1.jpg,Technic
42139,All-Terrain Vehicle,2022,https://cdn.rebrickable.com/media/sets/42139-1.jpg,Technic
42140,App-Controlled Transformation Vehicle,2022,https://cdn.rebrickable.com/media/sets/42140-1.jpg,Technic
42141,McLaren Formula 1 Team 2022 (First Edition),2022,https://cdn.rebrickable.com/media/sets/42141-1.jpg,Technic
42141,McLaren Formula 1 Team 2022 (Second Edition),2022,https://cdn.rebrickable.com/media/sets/42141-2.jpg,Technic
42143,Ferrari Daytona SP3,2022,https://cdn.rebrickable.com/media/sets/42143-1.jpg,Technic
42144,Material Handler,2022,https://cdn.rebrickable.com/media/sets/42144-1.jpg,Technic
42145,Airbus H175 Rescue Helicopter,2022,https://cdn.rebrickable.com/media/sets/42145-1.jpg,Technic
42146,Liebherr Crawler Crane LR 13000,2023,https://cdn.rebrickable.com/media/sets/42146-1.jpg,Technic
42147,Dump Truck,2023,https://cdn.rebrickable.com/media/sets/42147-1.jpg,Technic
42148,Snow Groomer,2023,https://cdn.rebrickable.com/media/sets/42148-1.jpg,Technic
42149,Monster Jam Dragon,2023,https://cdn.rebrickable.com/media/sets/42149-1.jpg,Technic
